ID_INDIVIDU,NB_VISITES,MONTANT_CUMULE,NB_PRDT_MOY_VISITE,CA_MOY_VISITE,NB_MAG_DIFF,NB_LIGNES_DIFF,NB_FAM_DIFF,NB_CADEAUX,RECENCE_x,PART_VIST_MAG_GEST,MONTANT,RECENCE_y,FREQUENCE
8918,13,1530,4.6923076923076925,117.6923076923077,2,4,10,61,151,0.3846153846153846,Depensier,Moyennement Recent,Tres Frequent
8923,1,73,3.0,73.0,1,2,3,3,424,0.0,Pas Depensier,Ancien,Peu Frequent
8967,10,691,3.5,69.1,3,3,10,35,36,0.0,Depensier,Recent,Tres Frequent
9220,4,608,6.0,152.0,1,4,10,24,49,1.0,Depensier,Recent,Tres Frequent
9411,5,467,4.6,93.4,1,3,9,23,167,0.0,Depensier,Moyennement Recent,Tres Frequent
9496,19,1577,3.473684210526316,83.0,4,4,13,66,30,0.0526315789473684,Depensier,Recent,Tres Frequent
9835,2,300,5.0,150.0,1,3,4,10,227,1.0,Moyennement Depensier,Moyennement Recent,Peu Frequent
9852,2,161,3.0,80.5,2,2,3,6,20,0.5,Pas Depensier,Recent,Peu Frequent
9921,3,380,5.0,126.66666666666669,2,2,7,15,50,0.6666666666666666,Depensier,Recent,Moyennement Frequent
10035,10,1079,5.0,107.9,5,4,11,50,45,0.0,Depensier,Recent,Tres Frequent
10054,9,1100,4.0,122.22222222222224,2,3,10,36,6,0.7777777777777778,Depensier,Recent,Tres Frequent
10144,1,41,5.0,41.0,1,2,4,5,549,1.0,Pas Depensier,Ancien,Peu Frequent
10171,6,374,2.833333333333333,62.333333333333336,1,3,6,17,56,1.0,Depensier,Recent,Tres Frequent
10231,10,1227,5.1,122.7,3,4,13,51,28,0.5,Depensier,Recent,Tres Frequent
10314,5,290,1.8,58.0,2,3,5,9,8,0.0,Moyennement Depensier,Recent,Tres Frequent
10343,4,237,2.25,59.25,1,2,3,9,125,1.0,Moyennement Depensier,Moyennement Recent,Tres Frequent
10375,7,552,2.142857142857143,78.85714285714286,3,1,5,15,137,0.2857142857142857,Depensier,Moyennement Recent,Tres Frequent
10528,4,156,2.75,39.0,1,2,4,11,212,1.0,Pas Depensier,Moyennement Recent,Tres Frequent
10646,5,461,2.8,92.2,1,3,9,14,60,1.0,Depensier,Recent,Tres Frequent
10683,6,327,2.5,54.5,3,3,9,15,28,0.5,Moyennement Depensier,Recent,Tres Frequent
10815,2,250,4.5,125.0,1,3,8,9,98,0.0,Moyennement Depensier,Moyennement Recent,Peu Frequent
10844,1,56,2.0,56.0,1,1,2,2,596,1.0,Pas Depensier,Ancien,Peu Frequent
10858,1,68,3.0,68.0,1,1,3,3,582,1.0,Pas Depensier,Ancien,Peu Frequent
10991,8,933,5.25,116.625,2,3,9,42,30,0.75,Depensier,Recent,Tres Frequent
11271,1,69,1.0,69.0,1,1,1,1,62,0.0,Pas Depensier,Recent,Peu Frequent
11348,6,667,4.333333333333333,111.16666666666669,3,4,9,26,65,0.0,Depensier,Recent,Tres Frequent
11384,10,473,2.0,47.3,3,4,11,20,38,0.8,Depensier,Recent,Tres Frequent
11449,8,603,3.0,75.375,1,4,7,24,13,1.0,Depensier,Recent,Tres Frequent
11567,5,396,2.6,79.2,1,2,7,13,590,1.0,Depensier,Ancien,Tres Frequent
11685,9,819,3.6666666666666665,91.0,3,3,9,33,132,0.0,Depensier,Moyennement Recent,Tres Frequent
11716,2,270,4.5,135.0,1,2,4,9,337,1.0,Moyennement Depensier,Ancien,Peu Frequent
11772,13,1060,3.0,81.53846153846153,5,4,13,39,31,0.2307692307692307,Depensier,Recent,Tres Frequent
11787,1,212,11.0,212.0,1,1,3,11,366,0.0,Moyennement Depensier,Ancien,Peu Frequent
11851,4,221,2.0,55.25,2,3,5,8,128,0.0,Moyennement Depensier,Moyennement Recent,Tres Frequent
11913,13,1349,4.0,103.76923076923076,2,4,12,52,8,0.0,Depensier,Recent,Tres Frequent
11988,20,1405,3.0,70.25,1,4,14,60,25,1.0,Depensier,Recent,Tres Frequent
12126,1,103,3.0,103.0,1,1,3,3,118,0.0,Pas Depensier,Moyennement Recent,Peu Frequent
12136,14,2009,4.428571428571429,143.5,2,4,12,62,8,0.0,Depensier,Recent,Tres Frequent
12185,21,1333,2.523809523809524,63.47619047619048,2,4,13,53,1,0.0952380952380952,Depensier,Recent,Tres Frequent
12198,11,1165,3.636363636363636,105.9090909090909,5,4,12,40,64,0.0909090909090909,Depensier,Recent,Tres Frequent
12207,20,1271,2.75,63.55,3,4,11,55,6,0.0,Depensier,Recent,Tres Frequent
12331,1,199,4.0,199.0,1,2,2,4,176,0.0,Moyennement Depensier,Moyennement Recent,Peu Frequent
12484,14,552,2.4285714285714284,39.42857142857143,5,3,12,34,234,0.1428571428571428,Depensier,Moyennement Recent,Tres Frequent
12527,7,483,3.857142857142857,69.0,5,4,6,27,167,0.0,Depensier,Moyennement Recent,Tres Frequent
12775,13,833,4.076923076923077,64.07692307692308,1,4,14,53,36,1.0,Depensier,Recent,Tres Frequent
12802,19,1999,3.8947368421052633,105.21052631578948,4,4,13,74,44,0.2631578947368421,Depensier,Recent,Tres Frequent
12803,4,213,2.5,53.25,2,3,7,10,94,0.5,Moyennement Depensier,Moyennement Recent,Tres Frequent
12894,1,100,4.0,100.0,1,1,3,4,491,1.0,Pas Depensier,Ancien,Peu Frequent
12924,6,305,2.6666666666666665,50.833333333333336,2,4,8,16,114,0.1666666666666666,Moyennement Depensier,Moyennement Recent,Tres Frequent
12935,2,77,2.0,38.5,1,3,3,4,611,1.0,Pas Depensier,Ancien,Peu Frequent
12938,2,206,4.5,103.0,1,2,5,9,95,1.0,Moyennement Depensier,Moyennement Recent,Peu Frequent
13048,6,480,2.833333333333333,80.0,2,3,9,17,437,0.8333333333333334,Depensier,Ancien,Tres Frequent
13086,3,140,1.6666666666666667,46.66666666666666,2,1,3,5,210,0.6666666666666666,Pas Depensier,Moyennement Recent,Moyennement Frequent
13148,2,167,3.5,83.5,1,1,4,7,420,0.0,Moyennement Depensier,Ancien,Peu Frequent
13218,1,60,2.0,60.0,1,1,2,2,484,0.0,Pas Depensier,Ancien,Peu Frequent
13324,2,112,2.5,56.0,1,2,4,5,596,0.0,Pas Depensier,Ancien,Peu Frequent
13484,8,458,2.625,57.25,3,4,9,21,52,0.125,Depensier,Recent,Tres Frequent
13622,7,309,1.7142857142857142,44.142857142857146,3,3,8,12,150,0.0,Moyennement Depensier,Moyennement Recent,Tres Frequent
13637,1,268,8.0,268.0,1,2,6,8,116,1.0,Moyennement Depensier,Moyennement Recent,Peu Frequent
13662,14,1043,3.642857142857143,74.5,2,4,8,51,34,0.0,Depensier,Recent,Tres Frequent
13732,2,138,2.0,69.0,2,1,3,4,285,0.5,Pas Depensier,Ancien,Peu Frequent
13824,2,185,3.5,92.5,1,3,6,7,399,1.0,Moyennement Depensier,Ancien,Peu Frequent
13909,6,477,2.1666666666666665,79.5,2,4,10,13,105,0.1666666666666666,Depensier,Moyennement Recent,Tres Frequent
13936,6,558,3.6666666666666665,93.0,1,3,9,22,13,1.0,Depensier,Recent,Tres Frequent
13981,4,133,1.25,33.25,1,1,4,5,214,1.0,Pas Depensier,Moyennement Recent,Tres Frequent
14090,1,169,5.0,169.0,1,1,3,5,329,0.0,Moyennement Depensier,Ancien,Peu Frequent
14096,2,209,3.5,104.5,1,4,6,7,31,1.0,Moyennement Depensier,Recent,Peu Frequent
14133,5,194,1.4,38.8,2,3,5,7,42,0.0,Moyennement Depensier,Recent,Tres Frequent
14151,4,149,2.0,37.25,1,2,7,8,462,0.0,Pas Depensier,Ancien,Tres Frequent
14176,4,440,3.75,110.0,1,3,9,15,329,1.0,Depensier,Ancien,Tres Frequent
14229,11,1136,4.090909090909091,103.27272727272728,1,3,8,45,30,0.0,Depensier,Recent,Tres Frequent
14385,10,1301,4.6,130.1,1,2,6,46,241,1.0,Depensier,Moyennement Recent,Tres Frequent
14417,1,81,3.0,81.0,1,2,3,3,420,0.0,Pas Depensier,Ancien,Peu Frequent
14538,3,345,3.6666666666666665,115.0,2,3,6,11,350,0.0,Depensier,Ancien,Moyennement Frequent
14578,4,350,3.0,87.5,3,4,9,12,49,0.0,Depensier,Recent,Tres Frequent
14800,4,190,2.75,47.5,1,3,5,11,113,0.0,Moyennement Depensier,Moyennement Recent,Tres Frequent
14803,7,826,4.142857142857143,118.0,1,4,11,29,455,0.0,Depensier,Ancien,Tres Frequent
14866,2,169,3.0,84.5,2,1,4,6,86,0.0,Moyennement Depensier,Recent,Peu Frequent
14935,5,296,1.8,59.2,4,2,5,9,139,0.2,Moyennement Depensier,Moyennement Recent,Tres Frequent
15003,4,409,3.75,102.25,1,2,6,15,153,0.0,Depensier,Moyennement Recent,Tres Frequent
15027,11,476,1.9090909090909087,43.27272727272727,2,4,5,21,7,0.1818181818181818,Depensier,Recent,Tres Frequent
15039,8,651,3.375,81.375,1,4,10,27,52,0.0,Depensier,Recent,Tres Frequent
15128,1,77,4.0,77.0,1,1,4,4,417,0.0,Pas Depensier,Ancien,Peu Frequent
15267,3,74,1.3333333333333333,24.666666666666668,2,2,2,4,431,0.0,Pas Depensier,Ancien,Moyennement Frequent
15276,13,840,1.9230769230769231,64.61538461538461,2,4,13,25,114,0.9230769230769232,Depensier,Moyennement Recent,Tres Frequent
15325,3,426,4.333333333333333,142.0,1,2,5,13,84,1.0,Depensier,Recent,Moyennement Frequent
15338,2,166,1.5,83.0,1,2,2,3,229,0.0,Moyennement Depensier,Moyennement Recent,Peu Frequent
15383,9,797,3.555555555555556,88.55555555555556,2,3,9,32,231,0.1111111111111111,Depensier,Moyennement Recent,Tres Frequent
15428,14,1873,4.5,133.78571428571428,3,4,11,63,27,0.2857142857142857,Depensier,Recent,Tres Frequent
15457,2,367,4.0,183.5,1,2,4,8,189,1.0,Depensier,Moyennement Recent,Peu Frequent
15512,4,418,2.75,104.5,3,3,6,11,76,0.25,Depensier,Recent,Tres Frequent
15553,6,500,3.5,83.33333333333333,1,3,10,21,51,1.0,Depensier,Recent,Tres Frequent
15732,2,355,6.0,177.5,2,2,6,12,192,0.5,Depensier,Moyennement Recent,Peu Frequent
15832,3,154,2.6666666666666665,51.333333333333336,2,2,5,8,225,0.0,Pas Depensier,Moyennement Recent,Moyennement Frequent
15854,3,256,2.0,85.33333333333333,2,3,5,6,99,0.6666666666666666,Moyennement Depensier,Moyennement Recent,Moyennement Frequent
16023,1,25,2.0,25.0,1,1,2,2,597,1.0,Pas Depensier,Ancien,Peu Frequent
16123,5,598,3.6,119.6,2,3,5,18,67,0.0,Depensier,Recent,Tres Frequent
16262,3,300,3.333333333333333,100.0,2,2,7,10,229,0.0,Moyennement Depensier,Moyennement Recent,Moyennement Frequent
16283,11,978,3.5454545454545454,88.9090909090909,5,4,10,39,34,0.0909090909090909,Depensier,Recent,Tres Frequent
16355,5,311,1.6,62.2,2,3,5,8,193,0.0,Moyennement Depensier,Moyennement Recent,Tres Frequent
16365,1,77,2.0,77.0,1,1,1,2,409,0.0,Pas Depensier,Ancien,Peu Frequent
16393,1,127,3.0,127.0,1,1,3,3,303,1.0,Pas Depensier,Ancien,Peu Frequent
16445,11,764,2.727272727272727,69.45454545454545,2,4,12,30,38,0.6363636363636364,Depensier,Recent,Tres Frequent
16459,3,371,3.6666666666666665,123.66666666666669,1,3,6,11,227,0.0,Depensier,Moyennement Recent,Moyennement Frequent
16464,9,689,3.2222222222222223,76.55555555555556,2,4,13,29,106,0.1111111111111111,Depensier,Moyennement Recent,Tres Frequent
16566,3,111,1.6666666666666667,37.0,2,2,4,5,224,0.6666666666666666,Pas Depensier,Moyennement Recent,Moyennement Frequent
16574,4,281,2.5,70.25,1,3,6,10,63,1.0,Moyennement Depensier,Recent,Tres Frequent
16606,10,735,3.0,73.5,3,3,8,30,273,0.0,Depensier,Ancien,Tres Frequent
16687,3,45,1.0,15.0,2,2,2,3,163,0.0,Pas Depensier,Moyennement Recent,Moyennement Frequent
16731,4,316,3.25,79.0,2,2,7,13,403,0.0,Moyennement Depensier,Ancien,Tres Frequent
16789,4,597,5.25,149.25,1,3,6,21,146,1.0,Depensier,Moyennement Recent,Tres Frequent
16903,2,164,2.0,82.0,1,2,3,4,57,0.0,Moyennement Depensier,Recent,Peu Frequent
16992,1,54,2.0,54.0,1,1,2,2,420,0.0,Pas Depensier,Ancien,Peu Frequent
17014,3,252,2.0,84.0,2,2,4,6,273,0.3333333333333333,Moyennement Depensier,Ancien,Moyennement Frequent
17028,4,456,4.25,114.0,1,3,8,17,2,1.0,Depensier,Recent,Tres Frequent
17052,5,557,3.4,111.4,2,4,10,17,91,0.6,Depensier,Moyennement Recent,Tres Frequent
17120,5,322,2.6,64.4,1,2,7,13,62,0.0,Moyennement Depensier,Recent,Tres Frequent
17200,5,253,1.8,50.6,1,3,6,9,41,0.0,Moyennement Depensier,Recent,Tres Frequent
17208,12,706,2.5,58.833333333333336,2,3,10,30,167,0.0,Depensier,Moyennement Recent,Tres Frequent
17238,3,150,1.6666666666666667,50.0,2,1,4,5,187,0.0,Pas Depensier,Moyennement Recent,Moyennement Frequent
17280,3,310,4.666666666666667,103.33333333333331,2,3,8,14,20,0.0,Moyennement Depensier,Recent,Moyennement Frequent
17406,3,283,3.0,94.33333333333331,1,1,5,9,100,1.0,Moyennement Depensier,Moyennement Recent,Moyennement Frequent
17424,1,169,6.0,169.0,1,2,4,6,680,1.0,Moyennement Depensier,Ancien,Peu Frequent
17709,8,1821,8.875,227.625,1,4,11,70,158,0.0,Depensier,Moyennement Recent,Tres Frequent
17723,3,189,2.0,63.0,1,1,5,6,10,1.0,Moyennement Depensier,Recent,Moyennement Frequent
17966,10,971,4.1,97.1,2,3,10,41,63,0.8,Depensier,Recent,Tres Frequent
18077,2,206,3.0,103.0,1,3,5,6,100,1.0,Moyennement Depensier,Moyennement Recent,Peu Frequent
18156,2,0,1.0,0.0,1,1,1,2,326,1.0,Pas Depensier,Ancien,Peu Frequent
18164,17,1247,3.0588235294117645,73.3529411764706,2,4,14,52,34,0.8823529411764706,Depensier,Recent,Tres Frequent
18170,5,517,4.2,103.4,3,4,9,21,76,0.6,Depensier,Recent,Tres Frequent
18211,2,193,3.0,96.5,1,2,4,6,86,0.0,Moyennement Depensier,Recent,Peu Frequent
18301,1,47,2.0,47.0,1,1,2,2,182,0.0,Pas Depensier,Moyennement Recent,Peu Frequent
18317,12,1030,4.0,85.83333333333333,5,4,10,48,27,0.0,Depensier,Recent,Tres Frequent
18320,1,116,6.0,116.0,1,2,3,6,112,1.0,Pas Depensier,Moyennement Recent,Peu Frequent
18379,7,252,1.7142857142857142,36.0,1,4,7,12,13,0.0,Moyennement Depensier,Recent,Tres Frequent
18688,11,1064,3.272727272727273,96.72727272727272,3,4,11,36,57,0.8181818181818182,Depensier,Recent,Tres Frequent
18989,9,775,3.555555555555556,86.11111111111111,1,4,11,32,62,1.0,Depensier,Recent,Tres Frequent
19124,1,178,6.0,178.0,1,2,2,6,540,0.0,Moyennement Depensier,Ancien,Peu Frequent
19235,1,139,4.0,139.0,1,2,3,4,246,0.0,Pas Depensier,Moyennement Recent,Peu Frequent
19367,5,358,2.6,71.6,5,3,7,13,220,0.2,Depensier,Moyennement Recent,Tres Frequent
19383,2,59,1.0,29.5,2,2,2,2,34,0.5,Pas Depensier,Recent,Peu Frequent
19569,2,426,6.0,213.0,2,2,6,12,53,0.5,Depensier,Recent,Peu Frequent
19574,4,560,4.5,140.0,2,3,8,18,60,0.75,Depensier,Recent,Tres Frequent
19665,5,814,6.6,162.8,2,3,7,33,167,0.6,Depensier,Moyennement Recent,Tres Frequent
19852,5,206,1.8,41.2,1,3,6,9,168,1.0,Moyennement Depensier,Moyennement Recent,Tres Frequent
20019,3,276,2.6666666666666665,92.0,2,3,5,8,65,0.6666666666666666,Moyennement Depensier,Recent,Moyennement Frequent
20276,1,47,1.0,47.0,1,1,1,1,53,1.0,Pas Depensier,Recent,Peu Frequent
20448,1,130,2.0,130.0,1,1,1,2,481,1.0,Pas Depensier,Ancien,Peu Frequent
20472,5,679,6.2,135.8,2,3,9,31,97,0.0,Depensier,Moyennement Recent,Tres Frequent
20555,13,966,3.3076923076923075,74.3076923076923,5,4,10,43,170,0.4615384615384615,Depensier,Moyennement Recent,Tres Frequent
20563,6,567,3.8333333333333335,94.5,2,4,11,23,46,0.1666666666666666,Depensier,Recent,Tres Frequent
20651,1,35,2.0,35.0,1,2,2,2,686,1.0,Pas Depensier,Ancien,Peu Frequent
20786,1,39,1.0,39.0,1,1,1,1,115,1.0,Pas Depensier,Moyennement Recent,Peu Frequent
20788,1,93,3.0,93.0,1,1,3,3,610,0.0,Pas Depensier,Ancien,Peu Frequent
20830,5,495,3.4,99.0,2,3,6,17,13,0.0,Depensier,Recent,Tres Frequent
20936,5,186,2.4,37.2,1,4,6,12,97,1.0,Moyennement Depensier,Moyennement Recent,Tres Frequent
21144,2,183,3.0,91.5,1,2,4,6,130,0.0,Moyennement Depensier,Moyennement Recent,Peu Frequent
21343,1,29,2.0,29.0,1,2,2,2,700,1.0,Pas Depensier,Ancien,Peu Frequent
21643,4,326,2.25,81.5,2,3,7,9,63,0.75,Moyennement Depensier,Recent,Tres Frequent
21654,1,100,4.0,100.0,1,1,2,4,234,0.0,Pas Depensier,Moyennement Recent,Peu Frequent
21665,2,119,1.5,59.5,1,2,3,3,49,1.0,Pas Depensier,Recent,Peu Frequent
21857,26,2930,4.923076923076923,112.6923076923077,2,4,14,128,6,0.9615384615384616,Depensier,Recent,Tres Frequent
21858,12,692,2.75,57.66666666666666,2,4,9,33,30,0.9166666666666666,Depensier,Recent,Tres Frequent
21905,4,464,5.75,116.0,1,3,7,23,234,1.0,Depensier,Moyennement Recent,Tres Frequent
21913,8,808,3.75,101.0,7,4,11,30,36,0.0,Depensier,Recent,Tres Frequent
21943,3,173,1.3333333333333333,57.66666666666666,2,3,4,4,245,0.6666666666666666,Moyennement Depensier,Moyennement Recent,Moyennement Frequent
21966,1,49,2.0,49.0,1,1,2,2,141,0.0,Pas Depensier,Moyennement Recent,Peu Frequent
22160,1,101,4.0,101.0,1,1,2,4,598,0.0,Pas Depensier,Ancien,Peu Frequent
22193,10,863,4.5,86.3,1,4,8,45,27,1.0,Depensier,Recent,Tres Frequent
22278,1,0,1.0,0.0,1,1,1,1,698,1.0,Pas Depensier,Ancien,Peu Frequent
22341,6,359,2.333333333333333,59.833333333333336,1,3,6,14,70,1.0,Depensier,Recent,Tres Frequent
22468,2,190,4.0,95.0,1,3,6,8,199,1.0,Moyennement Depensier,Moyennement Recent,Peu Frequent
22789,3,422,6.333333333333333,140.66666666666666,1,3,8,19,511,1.0,Depensier,Ancien,Moyennement Frequent
22800,1,99,3.0,99.0,1,2,3,3,611,0.0,Pas Depensier,Ancien,Peu Frequent
22813,2,136,1.5,68.0,1,2,3,3,118,1.0,Pas Depensier,Moyennement Recent,Peu Frequent
22883,1,90,4.0,90.0,1,2,2,4,679,1.0,Pas Depensier,Ancien,Peu Frequent
22995,5,557,3.2,111.4,1,2,5,16,29,0.0,Depensier,Recent,Tres Frequent
23015,5,243,1.8,48.6,1,4,7,9,238,0.0,Moyennement Depensier,Moyennement Recent,Tres Frequent
23323,4,702,5.75,175.5,1,4,11,23,116,0.0,Depensier,Moyennement Recent,Tres Frequent
23349,1,68,2.0,68.0,1,1,1,2,483,0.0,Pas Depensier,Ancien,Peu Frequent
23459,3,361,3.6666666666666665,120.33333333333331,1,3,5,11,140,1.0,Depensier,Moyennement Recent,Moyennement Frequent
23607,1,70,2.0,70.0,1,1,2,2,670,1.0,Pas Depensier,Ancien,Peu Frequent
24035,4,413,4.0,103.25,2,3,8,16,445,0.75,Depensier,Ancien,Tres Frequent
